Product Name,Link,Price
GALAX GeForce® GTX 1080 EXOC-SNPR WHITE 8GB GDDR5/X Graphics Card,https://www.startech.com.bd/galax-gtx-1080-exoc-snpr-8gb-graphics-card,"67,000"
Gigabyte Aorus GeForce GTX 1070 Ti 8G GDDR5 Graphics Card,https://www.startech.com.bd/gigabyte-aorus-geforce-gtx-1070-ti-8g-graphics-card,"52,500"
Gigabyte Aorus GeForce GTX 1080 Ti Xtreme Edition 11G GDDR5X Graphics Card,https://www.startech.com.bd/gigabyte-aorus-gtx-1080-ti-xtreme-edition-11g,"87,500"
Gigabyte Aorus GeForce® GTX 1060 6G GDDR5 Graphics Card,https://www.startech.com.bd/gigabyte-aorus-geforce-gtx-1060-6g-graphics-card,"34,000"
Gigabyte Aorus GeForce® Gtx 1060 Xtreme Edition 6G 9Gbps Graphics Card,https://www.startech.com.bd/gigabyte-aorus-gtx-1060-xtreme-edition-6g-9gbps,"36,000"
Gigabyte AORUS GeForce® GTX 1080 Ti 11G Graphics Card,https://www.startech.com.bd/gigabyte-aorus-gtx-1080ti-11g-graphics-card,"96,000"
Gigabyte GTX 1050 Ti OC 4GB DDR5 Graphics Card,https://www.startech.com.bd/gigabyte-geforce-gtx-1050-ti-oc-4g,"18,500"
Gigabyte GTX 980 Ti XTREME 6GB DDR5 Graphics Card,https://www.startech.com.bd/Gigabyte-GV-N98T-XTREME-6GD-6GD-6-GB-DDR5-Graphics-Card,"51,500"
XFX RX 580 GTS XXX Edition 8GB DDR5 Graphics Card,https://www.startech.com.bd/xfx-580-gts-xxx-edition-8gb-graphics-card,"34,500"
Zotac GeForce GT 710 2GB DDR3 Graphics Card,https://www.startech.com.bd/zotac-gt-710-2gb-graphics-card,"4,350"
