Gigabyte GeForce GTX 1050 Ti Windforce OC 4GB GDDR5 Graphics Card #GV-N105TWF2OC-4GD,https://ryanscomputers.com/components/graphics-card/gigabyte-geforce-gtx-1050-ti-gv-n105twf2oc-4gd-4gb-gddr5-graphics-card.html,"19,000

"
MSI GTX 1050Ti 4GTOC V1 4GB GDDR5 Graphics Card,https://ryanscomputers.com/msi-gtx-1050-ti-4gtoc-v1-4gb-gddr5-graphics-card.html,"19,000

"
Gigabyte GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card #GV-N105TG1 GAMING-4GD,https://ryanscomputers.com/components/graphics-card/gigabyte-geforce-gtx-1050-ti-gv-n105tg1-gaming-4gd-4gb-gddr5-graphics-card.html,"20,000

"
Gigabyte GeForce GTX 1050 Ti G1 Gaming 4GB DDR5 Graphics Card #GV-N105TG1 GAMING-4GD,https://ryanscomputers.com/gigabyte-geforce-gtx-1050-ti-g1-gaming-4gb-ddr5-graphics-card-gv-n105tg1-gaming-4gd.html,"20,000

"
Asus Cerberus GeForce GTX 1050 Ti OC 4GB GDDR5 Graphics Card #CERBERUS-GTX1050TI-O4G,https://ryanscomputers.com/asus-cerberus-geforce-gtx-1050-ti-oc-4gb-gddr5-graphics-card-cerberus-gtx1050ti-o4g.html,"20,300

"
ZOTAC GeForce GTX 1060 3GB AMP Edition GDDR5 Graphics Card #ZT-P10610E-10M,https://ryanscomputers.com/components/graphics-card/zotac-geforce-gtx-1060-3gb-amp-edition-gddr5-graphics-card.html,"21,500

"
Asus ROG Strix RX570 OC edition 4GB GDDR5 Graphics Card with ASUS Aura Sync #ROG-STRIX-RX570-O4G-GAMING,https://ryanscomputers.com/components/graphics-card/asus-rog-strix-rx570-oc-edition-4gb-gddr5-graphics-card.html,"26,000

"
Gigabyte Radeon RX-570 AORUS 4G 4GB GDDR5 Graphics Card #GV-RX570AORUS-4GD,https://ryanscomputers.com/gigabyte-radeon-rx-570-aorus-4g-gv-rx570aorus-4gd-4gb-gddr5-graphics-card.html,"29,500

"
Asus DUAL-RX580-O4G 4GB GDDR5 Graphics Card #DUAL-RX580-O4G,https://ryanscomputers.com/components/graphics-card/asus-dual-rx580-o4g-4gb-gddr5-graphics-card.html,"31,000

"
Gigabyte AORUS Radeon RX 580 8G 8GB GDDR5 Graphics Card #GV-RX580AORUS-8GD,https://ryanscomputers.com/components/graphics-card/gigabyte-aorus-radeon-rx-580-8g-gv-rx580aorus-8gd-8gb-gddr5-graphics-card.html,"32,500

"
Gigabyte Radeon RX580 Gaming 8GB GDDR5 Graphics Card for Mining #GGV-RX580GAMING-8GD-MI (Without Box),https://ryanscomputers.com/gigabyte-radeon-rx580-gaming-8gb-gddr5-graphics-card-for-mining-ggv-rx580gaming-8gd-mi-without-box.html,"32,500

"
SAPPHIRE NITRO+ Radeon RX 570 8GB DDR5 Graphics card #11266-09-20G,https://ryanscomputers.com/sapphire-nitro-radeon-rx-570-8gb-ddr5-graphics-card-11266-09-20g.html,"34,500

"
ASUS Dual series Radeon RX 580 OC 8GB GDDR5 Graphics Card #DUAL-RX580-O8G,https://ryanscomputers.com/asus-dual-rx580-o8g-8gb-gddr5-graphics-card.html,"35,000

"
Asus ROG Strix Radeon RX 590 8GB GDDR5 Graphics Card #ROG-STRIX-RX590-8G-GAMING,https://ryanscomputers.com/asus-rog-strix-radeon-rx-590-8gb-gddr5-graphics-card-rog-strix-rx590-8g-gaming.html,"35,200

"
Gigabyte GeForce GTX 1070 Gaming 8GB DDR5 Graphics Card #GV-N1070G1 GAMING-8GD,https://ryanscomputers.com/gigabyte-gtx-1070-8gb-ddr5-graphics.html,"50,000

"
ASUS Dual series GeForceGTX 1070 OC 8GB GDDR5 Graphics Card #DUAL-GTX1070-O8G,https://ryanscomputers.com/components/graphics-card/asus-dual-series-geforcegtx-1070-oc-8gb-gddr5-graphics-card-dual-gtx1070-o8g.html,"51,000

"
ASUS Cerberus GeForce GTX 1070 Ti Advanced Edition 8GB GDDR5 #CERBERUS-GTX1070TI-A8G,https://ryanscomputers.com/asus-cerberus-geforce-gtx-1070-ti-advanced-edition-8gb-gddr5-cerberus-gtx1070ti-a8g.html,"56,000

"
Gigabyte AORUS GeForce RTX 2070 8GB GDDR6 Graphics Card #GV-N2070AORUS-8GC,https://ryanscomputers.com/gigabyte-aorus-geforce-rtx-2070-8gb-gddr6-graphics-card-gv-n2070aorus-8gc-12004.html,"61,000

"
Gigabyte Radeon RX VEGA 56 GAMING OC 8GB HBM2 Graphics Card #GV-RXVEGA56GAMING OC-8GD,https://ryanscomputers.com/gigabyte-radeon-rx-vega-56-gaming-oc-8gb-hbm2-graphics-card-gv-rxvega56gaming-oc-8gd.html,"63,000

"
Asus ROG Strix GeForce GTX 1070 Ti Advanced edition 8GB GDDR5 Graphics Card with Aura Sync RGB #ROG-STRIX-GTX1070TI-A8G-GAMING,https://ryanscomputers.com/asus-rog-strix-geforce-gtx-1070-ti-advanced-edition-8gb-gddr5-graphics-card-with-aura-sync-rgb-rog-strix-gtx1070ti-a8g-gaming.html,"65,000

"
ASUS Dual GeForce RTX 2070 OC 8GB GDDR6 Graphics Card #DUAL-RTX2070-O8G,https://ryanscomputers.com/asus-dual-geforce-rtx-2070-oc-8gb-gddr6-graphics-card-dual-rtx2070-o8g.html,"67,000

"
MSI RTX 2070 GAMING Z 8G 8GB GDDR6 Graphics Card,https://ryanscomputers.com/msi-rtx-2070-gaming-z-8g-8gb-gddr6-graphics-card.html,"69,000

"
Gigabyte GeForce RTX 2080 WINDFORCE OC 8GB GDDR6 Graphics Card #GV-N2080WF3OC-8GC,https://ryanscomputers.com/gigabyte-geforce-rtx-2080-windforce-oc-8gb-gddr6-graphics-card-gv-n2080wf3oc-8gc.html,"74,000

"
Asus ROG Strix GeForce RTX 2070 OC 8GB GDDR6 Graphics Card #ROG-STRIX-RTX2070-O8G-GAMING,https://ryanscomputers.com/asus-rog-strix-geforce-rtx-2070-oc-8gb-gddr6-graphics-card-rog-strix-rtx2070-o8g-gaming.html,"74,500

"
Gigabyte GeForce RTX 2080 GAMING OC WHITE 8GB GDDR5 Graphics Card #GV-N2080GAMINGOC WHITE-8GC,https://ryanscomputers.com/gigabyte-geforce-rtx-2080-gaming-oc-white-8gb-gddr5-graphics-card-gv-n2080gamingoc-white-8gc.html,"78,500

"
Gigabyte Aorus GeForce RTX 2080 XTREME 8GB GDDR6 Graphics Card #GV-N2080AORUS X-8GC,https://ryanscomputers.com/gigabyte-aorus-geforce-rtx-2080-xtreme-8gb-gddr6-graphics-card-gv-n2080aorus-x-8gc.html,"85,000

"
ZOTAC Gaming GeForce RTX 2080 8GB GDDR6 Graphics Card #ZT-T20800A-10P,https://ryanscomputers.com/zotac-gaming-geforce-rtx-2080-8gb-gddr6-graphics-card-zt-t20800a-10p.html,"89,500

"
Asus ROG Strix RTX 2080Ti 11GB DDR6 Graphics Card #ROG-STRIX-RTX2080TI-A11G-GAMING,https://ryanscomputers.com/asus-rog-strix-rtx-2080ti-11gb-ddr6-graphics-card-rog-strix-rtx2080ti-a11g-gaming.html,"146,000

"
